GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.actor,ActorDTO,24,0,0,0,10,0,7,0,7,0
demo,com.example.demo.actor,ActorController,57,6,0,0,14,3,6,1,6,1
demo,com.example.demo.actor,Actor,16,17,0,0,7,7,3,5,3,5
demo,com.example.demo.language,Language,21,3,0,0,9,2,6,1,6,1
demo,com.example.demo.language,LanguageController,9,6,0,0,2,3,2,1,2,1
demo,com.example.demo,DemoApplication,5,12,0,0,2,5,1,1,1,1
demo,com.example.demo.category,Category,20,3,0,0,9,1,5,1,5,1
demo,com.example.demo.category,CategoryDTO,10,0,0,0,4,0,3,0,3,0
demo,com.example.demo.category,CategoryController,41,6,0,0,10,3,5,1,5,1
demo,com.example.demo.filmActor,FilmActor,28,0,0,0,10,0,4,0,4,0
demo,com.example.demo.filmActor,FilmActorKey,23,0,0,0,10,0,5,0,5,0
demo,com.example.demo.filmActor,FilmActorController,12,12,0,0,2,5,1,1,1,1
demo,com.example.demo.film,Film,110,3,0,0,45,2,23,1,23,1
demo,com.example.demo.film,FilmController,31,6,0,0,6,3,3,1,3,1
